,Comma,Llama-3.2,Phi-3,GPT-2,GPT-4o,BLOOM,XGLM,Tekken,ByT5,mBERT,Qwen-3,TokenMonster,Gemma-2,Aya
Comma,1.0,0.35505551397205587,0.5769891599762582,0.6241518594424658,0.23383778541038602,0.14395244933780119,0.08865347957876317,0.322644643351481,0.5078125,0.13730164705095066,0.2918064996802247,0.3425327730038261,0.17412109375,0.16510671335416757
Llama-3.2,0.71153125,1.0,0.6999156539939396,0.8597807270628968,0.516175963283488,0.22472075953406734,0.12075403893628324,0.41265264064470486,0.5,0.18454666365529876,0.7224020729351417,0.3822367183089757,0.256859375,0.33875755306259286
Phi-3,0.28859375,0.17468968313373254,1.0,0.3542790059096245,0.1185587369199926,0.08719881921174405,0.08667697884441111,0.2252468395312356,0.3828125,0.15159727973098447,0.14678675273127667,0.24716176378347865,0.11909765625,0.09498135506158123
GPT-2,0.490125,0.3369043163672655,0.5562150510761925,1.0,0.21434463725946035,0.1320009573958832,0.09092293990812787,0.27160038140936915,0.5,0.1502337992588689,0.27860670275402355,0.3566769114972088,0.1730078125,0.17525065776833224
GPT-4o,0.7308125,0.8049915793413174,0.7408078473024897,0.8530751935053823,1.0,0.36644327429392054,0.19935314521421205,0.5268370705299744,0.5,0.27748082344182623,0.6518405211348397,0.3924606410336825,0.353390625,0.45065855255676807
BLOOM,0.56384375,0.4392231162674651,0.682859017212833,0.6584157430805659,0.45925637064478875,1.0,0.1656002937408206,0.3871689581987635,0.5078125,0.24423866763699634,0.4340636517679948,0.3664931317819733,0.24152734375,0.3722439408851542
XGLM,0.354625,0.24103355788423153,0.6931992127706101,0.46315936088505083,0.25515576020278075,0.16911999361736077,1.0,0.5162944849435576,0.3828125,0.581286021397442,0.1853707745155569,0.29163269146333815,0.372578125,0.19924400754424007
Tekken,0.65559375,0.41840537674650696,0.9150604479710099,0.7027876713691625,0.34252745989131034,0.20084968884633797,0.26226133558326303,1.0,0.51171875,0.4599613541117719,0.34765838767315665,0.37850467289719625,0.36041015625,0.2544965474514663
ByT5,0.00203125,0.000998003992015968,0.003061447627378089,0.0025469088883140656,0.0006399392057754513,0.0005185894367320887,0.00038280053748320365,0.001007351358001907,1.0,0.0007695718002124687,0.0008571296705325413,0.002352129461205545,0.00050390625,0.0005019037050688353
mBERT,0.25646875,0.17201534431137724,0.5661491362344194,0.3573631533915673,0.1658442447967443,0.11647518749002712,0.2714407362269929,0.4228338100950447,0.359375,1.0,0.1394022509543809,0.25064291538606287,0.26798828125,0.1576526591093562
Qwen-3,0.69153125,0.8542758233532934,0.6954796788603917,0.840798296754681,0.49427304406081424,0.2626216690601564,0.10982078685041093,0.40547045615330196,0.5078125,0.17685931056404594,1.0,0.37775199146961047,0.251171875,0.3363029302549906
TokenMonster,0.17065625,0.09502869261477045,0.24619661991190528,0.22629683427184272,0.0625640564146406,0.04661720121270145,0.036323083653635825,0.09280704992156501,0.29296875,0.06685236768802229,0.07941636062741891,1.0,0.04966015625,0.04820236130008744
Gemma-2,0.696484375,0.512693363273453,0.9524538439911281,0.8812702708080467,0.4522970317819807,0.24665310355832137,0.3725664822974282,0.7094906339392821,0.50390625,0.5738747103649611,0.4239495216557108,0.39870162453741453,1.0,0.435523018950786
Aya,0.657921875,0.673598116267465,0.7567086314079535,0.8893089519867879,0.5746004129607687,0.37870193074836445,0.19848207868504109,0.499092614807296,0.5,0.3363196065145926,0.5654880034812652,0.3855296995546635,0.43387109375,1.0
