,Comma,Llama-3.2,Phi-3,GPT-2,GPT-4o,BLOOM,XGLM,Tekken,ByT5,mBERT,Qwen-3,TokenMonster,Gemma-2,Aya
Comma,1.0,0.310377731430363,0.23819656697747,0.37843380906996105,0.2152941122316994,0.12952899200987816,0.07633731568184264,0.2758833817708402,0.0020272588341702273,0.098209210628661,0.25819813197519415,0.12854856174379736,0.1618407915040392,0.1520536468752934
Llama-3.2,0.310377731430363,1.0,0.16251759005382194,0.3193572943689349,0.4588054926009865,0.17462019882022176,0.08748832602235744,0.2622350796776731,0.0009970089730807576,0.09773147102210054,0.643147705727317,0.08237695499952688,0.2064552590266876,0.29099133691712814
Phi-3,0.23819656697747,0.16251759005382194,1.0,0.2762049547802615,0.11383667121104477,0.08380490123911176,0.08347471494833145,0.22063376091230238,0.0030464111411607447,0.13581893805972944,0.1379222758445517,0.14069194515852612,0.11839376829940743,0.09216679286347534
GPT-2,0.37843380906996105,0.3193572943689349,0.2762049547802615,1.0,0.206713499804728,0.12354067807367639,0.08225437121008665,0.24361812927211152,0.002540438622605934,0.1182792866362846,0.2646458320285589,0.16070368800339127,0.16906709623731234,0.17150948609320316
GPT-4o,0.2152941122316994,0.4588054926009865,0.11383667121104477,0.206713499804728,1.0,0.25599224164597495,0.12601761520626384,0.26194508910308123,0.0006395299454900648,0.11582644887811895,0.3910388254279657,0.05703971448236254,0.24748393521013484,0.33791607005824464
BLOOM,0.12952899200987816,0.17462019882022176,0.08380490123911176,0.12354067807367639,0.25599224164597495,1.0,0.09131087481396445,0.15239954597048808,0.0005183289076018915,0.08561735218998971,0.19563466710250657,0.04314087418783225,0.13899323141110803,0.23110649112898515
XGLM,0.07633731568184264,0.08748832602235744,0.08347471494833145,0.08225437121008665,0.12601761520626384,0.09131087481396445,1.0,0.21053209202567488,0.0003825644308768533,0.2270472842281353,0.07407222008525616,0.03337820133168219,0.22893324500513648,0.11040927895981087
Tekken,0.2758833817708402,0.2622350796776731,0.22063376091230238,0.24361812927211152,0.26194508910308123,0.15239954597048808,0.21053209202567488,1.0,0.001006384008481282,0.28255842634272677,0.23027373091569717,0.08053462875598054,0.3140626116911011,0.202717939588155
ByT5,0.0020272588341702273,0.0009970089730807576,0.0030464111411607447,0.002540438622605934,0.0006395299454900648,0.0005183289076018915,0.0003825644308768533,0.001006384008481282,1.0,0.0007685175130105003,0.0008564181955927402,0.0023388530264758164,0.0005036563892131638,0.0005016519241094698
mBERT,0.098209210628661,0.09773147102210054,0.13581893805972944,0.1182792866362846,0.11582644887811895,0.08561735218998971,0.2270472842281353,0.28255842634272677,0.0007685175130105003,1.0,0.08454731218484203,0.05571628753285323,0.2235112822617954,0.12024404103238927
Qwen-3,0.25819813197519415,0.643147705727317,0.1379222758445517,0.2646458320285589,0.3910388254279657,0.19563466710250657,0.07407222008525616,0.23027373091569717,0.0008564181955927402,0.08454731218484203,1.0,0.07022914115794997,0.18726209995660645,0.2672443609373978
TokenMonster,0.12854856174379736,0.08237695499952688,0.14069194515852612,0.16070368800339127,0.05703971448236254,0.04314087418783225,0.03337820133168219,0.08053462875598054,0.0023388530264758164,0.05571628753285323,0.07022914115794997,1.0,0.046200026892173285,0.04476334743756873
Gemma-2,0.1618407915040392,0.2064552590266876,0.11839376829940743,0.16906709623731234,0.24748393521013484,0.13899323141110803,0.22893324500513648,0.3140626116911011,0.0005036563892131638,0.2235112822617954,0.18726209995660645,0.046200026892173285,1.0,0.27770665919921594
Aya,0.1520536468752934,0.29099133691712814,0.09216679286347534,0.17150948609320316,0.33791607005824464,0.23110649112898515,0.11040927895981087,0.202717939588155,0.0005016519241094698,0.12024404103238927,0.2672443609373978,0.04476334743756873,0.27770665919921594,1.0
