model_name,tokenizer_robustness_completion_chinese_canonical,tokenizer_robustness_completion_chinese_code_language_script_switching,tokenizer_robustness_completion_chinese_colloquial,tokenizer_robustness_completion_chinese_equivalent_expressions,tokenizer_robustness_completion_chinese_keyboard_proximity_errors,tokenizer_robustness_completion_chinese_ocr_errors,tokenizer_robustness_completion_chinese_optional_diacritics,tokenizer_robustness_completion_chinese_partially_romanized,tokenizer_robustness_completion_chinese_romanization,tokenizer_robustness_completion_chinese_space_removal,tokenizer_robustness_completion_chinese_spelled_out,tokenizer_robustness_completion_chinese_traditional,tokenizer_robustness_completion_chinese_word_spacing_zero-width_characters_extra_space
Comma,2.028,1.589,2.159,2.113,2.038,2.09,1.179,1.95,1.428,1.296,2.276,2.282,1.897
Llama-3.2,1.324,1.223,1.39,1.378,1.372,1.419,1.035,1.477,1.331,1.201,1.526,1.444,1.259
Phi-3,2.865,2.295,2.928,2.928,2.944,2.975,1.335,2.746,1.73,1.618,2.974,3.165,2.734
GPT-2,2.726,2.034,2.955,2.89,2.729,2.746,1.179,2.505,1.343,1.397,2.882,2.802,2.551
GPT-4o,1.295,1.202,1.341,1.337,1.344,1.419,1.041,1.43,1.22,1.2,1.461,1.48,1.239
BLOOM,1.11,1.106,1.148,1.141,1.17,1.237,1.001,1.33,1.229,1.17,1.263,1.133,1.096
XGLM,2.018,1.75,2.106,2.089,2.08,2.082,1.106,2.018,1.281,1.31,2.303,2.085,1.96
Tekken,1.509,1.325,1.519,1.564,1.531,1.616,1.073,1.627,1.369,1.256,1.579,1.601,1.422
ByT5,4.409,4.226,4.527,4.598,4.33,4.409,1.705,4.412,2.846,2.118,5.132,4.395,4.096
mBERT,1.512,1.312,1.538,1.553,1.49,1.513,1.041,1.606,1.383,1.238,1.711,1.496,1.412
Qwen-3,1.171,1.158,1.182,1.179,1.24,1.297,1.023,1.412,1.359,1.189,1.289,1.27,1.146
TokenMonster,4.345,3.5,4.458,4.502,4.281,4.344,1.31,4.039,1.856,1.611,5.132,4.343,4.043
Gemma-2,1.196,1.134,1.212,1.216,1.267,1.305,1.018,1.341,1.076,1.153,1.303,1.218,1.169
Aya,1.192,1.137,1.212,1.213,1.264,1.319,1.019,1.366,1.175,1.17,1.289,1.202,1.166
