model_name,tokenizer_robustness_completion_english_abbreviations,tokenizer_robustness_completion_english_canonical,tokenizer_robustness_completion_english_capitalization,tokenizer_robustness_completion_english_character_deletion,tokenizer_robustness_completion_english_character_substitution,tokenizer_robustness_completion_english_colloquial,tokenizer_robustness_completion_english_compounds,tokenizer_robustness_completion_english_contractions,tokenizer_robustness_completion_english_date_formats,tokenizer_robustness_completion_english_emoji_substitution,tokenizer_robustness_completion_english_grammatical_errors,tokenizer_robustness_completion_english_historical_spelling,tokenizer_robustness_completion_english_homoglyphs,tokenizer_robustness_completion_english_hyphenated_spelling,tokenizer_robustness_completion_english_inflections,tokenizer_robustness_completion_english_keyboard_proximity_errors,tokenizer_robustness_completion_english_letter_repetition_for_emphasis,tokenizer_robustness_completion_english_lowercase,tokenizer_robustness_completion_english_macron_diacritic,tokenizer_robustness_completion_english_ocr_errors,tokenizer_robustness_completion_english_orthographic_errors,tokenizer_robustness_completion_english_scripted_text,tokenizer_robustness_completion_english_similar_words,tokenizer_robustness_completion_english_space_removal,tokenizer_robustness_completion_english_spaced_styling,tokenizer_robustness_completion_english_spelled_out,tokenizer_robustness_completion_english_superscript_subscript_styling,tokenizer_robustness_completion_english_web_search_query,tokenizer_robustness_completion_english_word_reordering
Comma,1.338,1.357,1.622,1.45,1.301,1.394,1.335,1.242,1.459,1.595,1.382,1.655,1.748,1.005,1.468,1.524,1.85,1.384,11.446,1.517,1.514,10.706,1.486,9.396,1.0,1.509,9.161,1.272,1.391
Llama-3.2,1.075,1.092,1.412,1.187,1.147,1.141,1.111,1.1,1.251,1.41,1.108,1.408,1.519,1.005,1.213,1.248,1.541,1.119,11.446,1.26,1.24,10.424,1.226,7.875,1.0,1.093,9.173,1.152,1.11
Phi-3,1.084,1.135,1.882,1.239,1.205,1.224,1.123,1.248,1.825,1.721,1.181,1.463,1.635,1.01,1.532,1.301,1.612,1.14,7.677,1.322,1.286,15.174,1.258,9.417,1.02,1.093,9.103,1.179,1.194
GPT-2,1.107,1.121,1.617,1.207,1.199,1.181,1.138,1.131,1.251,1.449,1.163,1.443,1.586,1.005,1.245,1.29,1.558,1.149,11.446,1.282,1.271,10.706,1.27,8.333,1.0,1.12,7.416,1.199,1.161
GPT-4o,1.058,1.075,1.395,1.153,1.122,1.126,1.096,1.078,1.251,1.214,1.093,1.385,1.493,1.005,1.191,1.231,1.535,1.101,11.446,1.217,1.214,10.388,1.215,7.688,1.0,1.093,9.085,1.119,1.084
BLOOM,1.116,1.124,1.533,1.199,1.167,1.173,1.135,1.128,1.219,1.381,1.143,1.405,1.533,1.004,1.191,1.279,1.609,1.131,11.446,1.263,1.251,9.994,1.245,8.562,1.0,1.13,6.188,1.179,1.14
XGLM,1.101,1.072,1.499,1.164,1.115,1.13,1.091,1.195,1.344,1.26,1.096,1.307,1.51,1.006,1.287,1.24,1.552,1.095,7.655,1.225,1.206,1.079,1.183,7.729,1.008,1.065,1.097,1.106,1.11
Tekken,1.124,1.179,1.686,1.268,1.244,1.249,1.172,1.181,1.557,1.663,1.204,1.463,1.577,1.009,1.351,1.326,1.635,1.19,11.446,1.324,1.312,13.95,1.317,8.521,1.0,1.139,9.167,1.272,1.211
ByT5,3.286,3.573,3.573,3.452,3.545,3.671,3.547,3.593,3.202,3.408,3.735,3.828,3.826,1.009,3.574,3.554,4.116,3.631,11.446,3.485,3.473,14.241,4.252,26.25,1.0,3.426,9.721,4.172,3.622
mBERT,1.069,1.069,2.012,1.179,1.09,1.141,1.074,1.203,1.268,1.068,1.096,1.322,1.516,1.005,1.309,1.234,1.581,1.113,7.631,1.239,1.218,1.05,1.188,9.146,1.0,1.056,3.405,1.106,1.094
Qwen-3,1.078,1.13,1.45,1.228,1.173,1.188,1.128,1.128,1.557,1.243,1.146,1.445,1.551,1.009,1.351,1.279,1.581,1.143,11.446,1.3,1.277,4.288,1.258,8.146,1.0,1.111,3.669,1.185,1.154
TokenMonster,1.468,1.493,1.942,1.611,1.596,1.61,1.483,1.607,1.672,1.881,1.525,1.793,2.31,1.005,1.691,1.758,2.102,1.497,11.446,1.684,1.69,15.915,1.658,11.062,1.0,1.491,9.774,1.682,1.555
Gemma-2,1.029,1.084,1.225,1.156,1.096,1.137,1.062,1.198,1.645,1.097,1.111,1.356,1.481,1.009,1.436,1.231,1.513,1.077,7.631,1.241,1.208,3.882,1.159,7.729,1.0,1.056,3.636,1.073,1.09
Aya,1.038,1.089,1.386,1.167,1.109,1.126,1.074,1.089,1.557,1.337,1.117,1.394,1.513,1.009,1.298,1.237,1.535,1.092,11.446,1.241,1.209,10.118,1.179,8.062,1.0,1.065,7.144,1.113,1.117
