model_name,tokenizer_robustness_completion_math_canonical,tokenizer_robustness_completion_math_chinese,tokenizer_robustness_completion_math_decorative_unicode,tokenizer_robustness_completion_math_farsi,tokenizer_robustness_completion_math_italian,tokenizer_robustness_completion_math_latex,tokenizer_robustness_completion_math_space_removal,tokenizer_robustness_completion_math_spelled_out,tokenizer_robustness_completion_math_turkish
Comma,1.406,6.052,2.748,3.537,1.704,1.365,1.783,1.394,2.561
Llama-3.2,1.208,4.517,2.515,1.59,1.532,1.256,1.529,1.133,2.039
Phi-3,1.54,6.948,3.322,4.119,1.882,1.47,1.866,1.08,2.923
GPT-2,1.297,8.5,2.901,3.762,1.66,1.326,1.656,1.22,2.561
GPT-4o,1.218,4.483,2.455,1.621,1.478,1.263,1.541,1.155,2.045
BLOOM,1.198,3.569,2.47,1.824,1.537,1.196,1.478,1.208,2.206
XGLM,1.238,4.431,1.406,1.278,1.335,1.372,1.484,1.201,1.626
Tekken,1.391,5.224,2.752,1.643,1.616,1.33,1.764,1.22,2.271
ByT5,3.114,12.828,4.604,5.648,3.305,2.695,3.987,3.879,4.645
mBERT,1.243,4.966,1.396,1.366,1.389,1.298,1.605,1.106,1.871
Qwen-3,1.342,4.155,2.134,2.198,1.66,1.351,1.701,1.133,2.361
TokenMonster,1.51,12.638,3.842,6.128,2.034,1.425,1.885,1.557,3.297
Gemma-2,1.282,4.138,1.743,1.564,1.542,1.291,1.631,1.023,2.155
Aya,1.327,4.138,2.5,1.626,1.611,1.34,1.688,1.087,2.161
