model_name,tokenizer_robustness_completion_stem_canonical,tokenizer_robustness_completion_stem_character_deletion,tokenizer_robustness_completion_stem_colloquial,tokenizer_robustness_completion_stem_compounds,tokenizer_robustness_completion_stem_diacriticized_styling,tokenizer_robustness_completion_stem_double_struck,tokenizer_robustness_completion_stem_enclosed_characters,tokenizer_robustness_completion_stem_equivalent_expressions,tokenizer_robustness_completion_stem_fullwidth_characters,tokenizer_robustness_completion_stem_latex,tokenizer_robustness_completion_stem_morpheme_separation,tokenizer_robustness_completion_stem_scripted_text,tokenizer_robustness_completion_stem_space_removal,tokenizer_robustness_completion_stem_spelled_out,tokenizer_robustness_completion_stem_strikethrough,tokenizer_robustness_completion_stem_superscript_subscript,tokenizer_robustness_completion_stem_typographical_errors,tokenizer_robustness_completion_stem_unicode_formatting,tokenizer_robustness_completion_stem_unusual_formatting,tokenizer_robustness_completion_stem_upside_down_rotated
Comma,1.489,1.682,1.694,1.5,1.405,1.456,1.415,1.336,1.449,1.947,1.413,1.456,1.784,1.441,1.425,1.458,1.705,1.729,1.31,1.439
Llama-3.2,1.332,1.466,1.403,1.2,1.199,1.262,1.202,1.168,1.245,1.963,1.282,1.262,1.606,1.3,1.212,1.244,1.522,1.645,1.181,1.245
Phi-3,1.307,1.458,1.371,1.0,1.217,1.262,1.229,1.15,1.255,1.91,1.257,1.262,1.674,1.241,1.238,1.274,1.514,1.514,1.245,1.255
GPT-2,1.425,1.549,1.468,1.3,1.283,1.34,1.295,1.239,1.316,2.059,1.34,1.34,1.711,1.468,1.3,1.339,1.61,2.0,1.265,1.327
GPT-4o,1.336,1.462,1.419,1.2,1.22,1.272,1.213,1.159,1.255,1.991,1.301,1.272,1.592,1.291,1.225,1.256,1.506,1.682,1.187,1.255
BLOOM,1.364,1.451,1.323,1.3,1.26,1.301,1.264,1.212,1.276,1.611,1.252,1.301,1.647,1.35,1.275,1.304,1.502,1.636,1.297,1.276
XGLM,1.264,1.39,1.339,1.2,1.185,1.233,1.19,1.159,1.224,2.065,1.189,1.233,1.61,1.318,1.2,1.226,1.462,1.458,1.181,1.214
Tekken,1.418,1.519,1.484,1.3,1.277,1.32,1.267,1.221,1.296,1.86,1.345,1.32,1.679,1.368,1.275,1.315,1.57,1.766,1.206,1.296
ByT5,4.825,4.595,4.565,4.8,4.925,4.66,4.884,3.292,4.561,4.072,3.733,4.66,5.766,4.664,4.9,4.845,4.841,4.813,2.916,4.571
mBERT,1.271,1.447,1.419,1.2,1.202,1.223,1.194,1.142,1.214,2.093,1.248,1.223,1.661,1.273,1.2,1.22,1.526,1.383,1.239,1.214
Qwen-3,1.343,1.485,1.403,1.2,1.208,1.272,1.213,1.168,1.255,1.963,1.291,1.272,1.619,1.305,1.225,1.262,1.534,1.645,1.174,1.255
TokenMonster,1.818,2.087,1.952,1.7,1.65,1.709,1.671,1.478,1.673,2.078,1.689,1.709,2.22,1.809,1.688,1.762,2.247,3.009,1.645,1.673
Gemma-2,1.189,1.356,1.29,1.1,1.116,1.175,1.116,1.106,1.163,1.857,1.175,1.175,1.427,1.091,1.125,1.167,1.418,1.449,1.084,1.163
Aya,1.282,1.413,1.387,1.1,1.176,1.243,1.178,1.124,1.224,1.956,1.233,1.243,1.537,1.205,1.188,1.226,1.466,1.664,1.123,1.224
