model_name,tokenizer_robustness_completion_english_abbreviations,tokenizer_robustness_completion_english_canonical,tokenizer_robustness_completion_english_capitalization,tokenizer_robustness_completion_english_character_deletion,tokenizer_robustness_completion_english_character_substitution,tokenizer_robustness_completion_english_colloquial,tokenizer_robustness_completion_english_compounds,tokenizer_robustness_completion_english_contractions,tokenizer_robustness_completion_english_date_formats,tokenizer_robustness_completion_english_emoji_substitution,tokenizer_robustness_completion_english_grammatical_errors,tokenizer_robustness_completion_english_historical_spelling,tokenizer_robustness_completion_english_homoglyphs,tokenizer_robustness_completion_english_hyphenated_spelling,tokenizer_robustness_completion_english_inflections,tokenizer_robustness_completion_english_keyboard_proximity_errors,tokenizer_robustness_completion_english_letter_repetition_for_emphasis,tokenizer_robustness_completion_english_lowercase,tokenizer_robustness_completion_english_macron_diacritic,tokenizer_robustness_completion_english_ocr_errors,tokenizer_robustness_completion_english_orthographic_errors,tokenizer_robustness_completion_english_scripted_text,tokenizer_robustness_completion_english_similar_words,tokenizer_robustness_completion_english_space_removal,tokenizer_robustness_completion_english_spaced_styling,tokenizer_robustness_completion_english_spelled_out,tokenizer_robustness_completion_english_superscript_subscript_styling,tokenizer_robustness_completion_english_web_search_query,tokenizer_robustness_completion_english_word_reordering
Comma,0.303,0.308,0.406,0.363,0.231,0.307,0.286,0.203,0.322,0.422,0.303,0.523,0.458,0.002,0.372,0.393,0.601,0.33,0.975,0.373,0.411,0.932,0.395,1.0,0.0,0.454,0.927,0.219,0.324
Llama-3.2,0.064,0.063,0.288,0.141,0.103,0.101,0.081,0.072,0.115,0.204,0.076,0.307,0.27,0.002,0.117,0.164,0.439,0.089,0.975,0.155,0.183,0.932,0.156,0.917,0.0,0.093,0.927,0.132,0.077
Phi-3,0.058,0.063,0.461,0.144,0.141,0.134,0.069,0.181,0.284,0.206,0.099,0.322,0.272,0.002,0.287,0.162,0.431,0.08,0.975,0.164,0.19,0.932,0.133,0.917,0.02,0.074,0.93,0.132,0.107
GPT-2,0.087,0.084,0.395,0.147,0.141,0.13,0.101,0.092,0.115,0.223,0.117,0.305,0.293,0.002,0.138,0.17,0.439,0.11,0.975,0.164,0.195,0.932,0.174,0.917,0.0,0.12,0.927,0.172,0.114
GPT-4o,0.052,0.052,0.277,0.118,0.09,0.094,0.076,0.056,0.115,0.16,0.067,0.305,0.264,0.002,0.106,0.153,0.439,0.077,0.975,0.145,0.166,0.932,0.153,0.917,0.0,0.093,0.927,0.113,0.057
BLOOM,0.101,0.104,0.363,0.164,0.147,0.144,0.113,0.106,0.115,0.226,0.12,0.316,0.301,0.002,0.128,0.195,0.442,0.113,0.975,0.169,0.202,0.932,0.186,0.917,0.0,0.13,0.889,0.166,0.114
XGLM,0.09,0.058,0.401,0.133,0.103,0.112,0.071,0.178,0.295,0.204,0.082,0.276,0.27,0.005,0.245,0.162,0.484,0.08,0.975,0.153,0.166,0.056,0.13,0.917,0.008,0.056,0.065,0.093,0.094
Tekken,0.107,0.124,0.421,0.184,0.179,0.177,0.131,0.125,0.175,0.24,0.146,0.325,0.31,0.002,0.17,0.212,0.456,0.134,0.975,0.198,0.224,0.932,0.197,0.917,0.0,0.139,0.927,0.238,0.147
ByT5,0.824,0.873,0.873,0.865,0.788,0.881,0.8,0.866,0.82,0.862,0.88,0.876,0.881,0.002,0.915,0.872,0.878,0.878,0.975,0.866,0.873,0.932,0.897,1.0,0.0,0.898,0.933,0.815,0.853
mBERT,0.046,0.04,0.441,0.127,0.071,0.105,0.047,0.167,0.158,0.039,0.067,0.264,0.258,0.002,0.234,0.142,0.467,0.083,0.975,0.139,0.163,0.024,0.106,0.917,0.0,0.046,0.839,0.093,0.06
Qwen-3,0.064,0.075,0.3,0.153,0.103,0.116,0.086,0.078,0.175,0.102,0.087,0.319,0.275,0.002,0.16,0.175,0.45,0.089,0.975,0.172,0.193,0.888,0.158,0.917,0.0,0.111,0.883,0.159,0.09
TokenMonster,0.396,0.412,0.862,0.424,0.487,0.502,0.404,0.526,0.459,0.451,0.434,0.443,0.507,0.002,0.543,0.432,0.567,0.423,0.975,0.426,0.421,0.932,0.458,0.917,0.0,0.398,0.933,0.576,0.462
Gemma-2,0.023,0.037,0.153,0.104,0.045,0.079,0.037,0.153,0.273,0.036,0.064,0.282,0.252,0.002,0.266,0.145,0.414,0.033,0.975,0.142,0.149,0.888,0.089,0.917,0.0,0.056,0.883,0.066,0.037
Aya,0.029,0.04,0.268,0.115,0.058,0.065,0.049,0.045,0.175,0.153,0.067,0.29,0.255,0.002,0.117,0.145,0.439,0.045,0.975,0.137,0.153,0.932,0.1,0.917,0.0,0.065,0.927,0.093,0.064
