model_name,tokenizer_robustness_completion_math_canonical,tokenizer_robustness_completion_math_chinese,tokenizer_robustness_completion_math_decorative_unicode,tokenizer_robustness_completion_math_farsi,tokenizer_robustness_completion_math_italian,tokenizer_robustness_completion_math_latex,tokenizer_robustness_completion_math_space_removal,tokenizer_robustness_completion_math_spelled_out,tokenizer_robustness_completion_math_turkish
Comma,0.302,0.5,0.525,0.881,0.36,0.225,0.42,0.341,0.555
Llama-3.2,0.124,0.483,0.351,0.374,0.33,0.105,0.223,0.125,0.529
Phi-3,0.267,0.707,0.421,0.881,0.463,0.204,0.268,0.068,0.716
GPT-2,0.183,0.552,0.45,0.881,0.365,0.147,0.28,0.197,0.561
GPT-4o,0.129,0.483,0.347,0.392,0.31,0.109,0.223,0.144,0.529
BLOOM,0.134,0.379,0.376,0.471,0.34,0.116,0.229,0.197,0.523
XGLM,0.218,0.5,0.233,0.189,0.286,0.186,0.293,0.193,0.432
Tekken,0.228,0.517,0.371,0.414,0.384,0.168,0.274,0.208,0.6
ByT5,0.708,0.621,0.837,0.885,0.704,0.509,0.822,0.879,0.677
mBERT,0.139,0.552,0.153,0.194,0.232,0.116,0.242,0.087,0.445
Qwen-3,0.183,0.448,0.342,0.573,0.389,0.144,0.236,0.125,0.619
TokenMonster,0.351,0.603,0.604,0.885,0.429,0.26,0.465,0.511,0.606
Gemma-2,0.124,0.448,0.203,0.366,0.35,0.102,0.172,0.019,0.574
Aya,0.163,0.448,0.356,0.388,0.384,0.13,0.21,0.08,0.594
